state,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Idaho,2016,   2.66,   1.65,   3.58,   1.65,   2.21,   0.80,   0.72,   0.15,   1.82,   4.54,   1.44,   3.66
Idaho,2017,   3.33,   4.91,   4.14,   2.95,   1.60,   1.69,   0.33,   0.35,   2.09,   1.65,   3.55,   2.24
Idaho,2018,   2.78,   2.33,   2.75,   2.54,   2.47,   1.64,   0.12,   0.53,   0.16,   1.94,   2.38,   2.24
Idaho,2019,   2.22,   4.78,   1.40,   3.20,   2.83,   1.09,   0.55,   0.59,   2.10,   1.57,   0.82,   2.26
Illinois,2015,   1.50,   1.43,   2.35,   3.41,   5.39,   9.44,   5.21,   3.02,   3.42,   1.44,   5.52,   6.67
Illinois,2016,   0.86,   1.31,   3.35,   3.30,   4.34,   3.13,   6.90,   6.77,   3.42,   2.38,   2.59,   1.40
Illinois,2017,   2.13,   0.73,   3.56,   6.88,   5.17,   3.19,   4.81,   2.40,   0.83,   5.00,   2.26,   0.84
Illinois,2018,   1.30,   4.88,   3.91,   2.42,   3.80,   6.29,   3.44,   4.91,   4.90,   3.68,   3.01,   3.25
Illinois,2019,   3.31,   3.21,   4.06,   4.58,   8.16,   5.16,   3.05,   4.05,   5.00,   5.01,   2.40,   1.88
Indiana,2015,   2.11,   1.40,   3.54,   4.79,   3.98,   9.07,   6.23,   2.57,   2.39,   2.42,   3.57,   5.44
Indiana,2016,   1.34,   2.78,   4.46,   4.17,   3.53,   4.28,   5.13,   6.48,   3.66,   2.61,   2.58,   2.36
Indiana,2017,   3.68,   1.35,   4.04,   4.83,   6.90,   4.37,   6.07,   2.26,   2.03,   4.32,   4.43,   1.33
Indiana,2018,   2.05,   5.91,   3.92,   3.59,   3.42,   6.55,   3.37,   5.33,   5.40,   2.82,   4.32,   3.35
Indiana,2019,   3.50,   4.45,   4.18,   5.62,   6.02,   6.12,   3.61,   3.51,   2.26,   4.29,   2.70,   3.26
Iowa,2015,   0.52,   1.11,   0.56,   3.37,   5.06,   6.38,   5.51,   5.29,   4.18,   1.76,   4.08,   4.71
Iowa,2016,   0.59,   0.88,   2.28,   3.19,   4.36,   3.70,   5.92,   6.14,   6.12,   2.01,   1.39,   1.52
Iowa,2017,   1.56,   0.99,   2.57,   3.80,   4.80,   3.50,   2.94,   3.83,   2.31,   5.26,   0.41,   0.39
Iowa,2018,   1.02,   1.54,   2.28,   1.54,   4.70,   7.55,   3.39,   6.42,   8.10,   4.63,   1.81,   2.10
Iowa,2019,   1.28,   2.34,   2.19,   3.03,   8.21,   3.91,   3.38,   3.53,   6.21,   4.78,   1.49,   1.28
Kansas,2015,   0.37,   0.83,   0.49,   2.76,   8.28,   3.34,   4.93,   2.95,   1.58,   1.79,   3.10,   2.36
Kansas,2016,   0.48,   0.55,   0.77,   5.34,   4.58,   2.30,   5.05,   4.90,   4.11,   1.44,   0.47,   0.69
Kansas,2017,   1.56,   0.24,   2.79,   5.07,   4.83,   3.20,   2.39,   3.56,   2.39,   2.73,   0.16,   0.11
Kansas,2018,   0.39,   0.60,   1.02,   1.21,   4.10,   3.82,   4.19,   4.33,   3.33,   5.86,   0.81,   2.19
Kansas,2019,   1.03,   1.02,   2.12,   1.67,  10.51,   4.45,   2.32,   7.00,   2.02,   1.95,   0.65,   1.28
Kentucky,2015,   1.97,   3.26,   6.34,   8.28,   2.67,   5.47,   9.37,   3.19,   2.89,   3.96,   4.39,   6.52
Kentucky,2016,   1.88,   4.97,   4.22,   3.64,   6.06,   3.74,   8.39,   5.00,   2.13,   1.05,   2.07,   6.04
Kentucky,2017,   4.25,   2.00,   4.58,   4.48,   6.10,   4.96,   4.61,   4.38,   4.45,   5.24,   2.29,   2.92
Kentucky,2018,   2.47,   8.99,   5.18,   4.45,   4.88,   6.16,   4.27,   4.80,   8.06,   3.07,   5.82,   5.59
Kentucky,2019,   4.73,   9.39,   3.68,   4.94,   4.43,   8.10,   5.24,   3.46,   0.22,   6.34,   4.69,   6.10
Louisiana,2015,   5.86,   3.03,   5.85,   8.19,   8.24,   5.42,   3.00,   2.66,   2.76,   7.52,   9.09,   5.69
Louisiana,2016,   4.28,   3.24,  10.60,   6.51,   5.72,   6.03,   4.83,  13.02,   3.18,   0.42,   2.95,   6.30
Louisiana,2017,   6.63,   2.33,   3.64,   5.58,   9.14,   8.99,   4.76,  12.94,   0.88,   2.61,   1.58,   4.98
Louisiana,2018,   4.70,   8.22,   4.88,   4.78,   2.07,   3.61,   5.10,   4.47,   7.61,   5.24,   6.98,   8.73
Louisiana,2019,   5.71,   4.47,   2.01,   8.39,   8.17,   6.38,   7.38,   4.96,   1.79,   7.96,   1.68,   2.97
Maine,2015,   3.17,   1.74,   1.78,   3.08,   2.80,   5.79,   3.61,   3.90,   4.82,   4.73,   2.43,   5.31
Maine,2016,   2.50,   4.74,   3.74,   2.53,   2.56,   3.41,   3.78,   4.15,   1.58,   3.98,   3.82,   4.57
Maine,2017,   3.83,   3.11,   2.69,   4.11,   5.67,   3.73,   2.84,   2.45,   3.08,   7.17,   2.77,   3.87
Maine,2018,   4.78,   3.02,   2.95,   4.65,   1.92,   3.69,   4.06,   3.78,   3.15,   4.48,   6.18,   3.79
Maine,2019,   5.25,   2.87,   2.19,   5.37,   4.49,   4.69,   3.31,   4.80,   3.46,   5.73,   4.08,   3.75
Maryland,2015,   3.79,   2.03,   4.26,   3.63,   2.46,   9.39,   3.93,   2.61,   3.86,   3.71,   2.62,   4.57
Maryland,2016,   3.00,   4.04,   1.77,   2.13,   5.93,   4.17,   4.82,   2.78,   6.59,   2.22,   1.00,   3.21
Maryland,2017,   3.14,   1.12,   3.73,   3.22,   5.85,   2.11,   7.76,   5.57,   2.01,   3.79,   1.96,   0.95
Maryland,2018,   2.40,   4.73,   2.78,   3.75,   7.61,   5.10,   8.20,   4.95,   9.14,   4.04,   6.95,   4.97
Maryland,2019,   3.26,   3.61,   4.07,   3.04,   5.19,   4.23,   4.91,   3.12,   0.71,   5.26,   1.71,   3.60
Massachusetts,2015,   4.03,   2.99,   2.84,   2.55,   0.96,   6.57,   3.15,   2.95,   4.19,   3.86,   2.48,   4.82
Massachusetts,2016,   2.48,   4.69,   3.04,   2.94,   2.98,   1.77,   2.27,   3.18,   2.36,   4.91,   2.58,   3.63
Massachusetts,2017,   4.03,   2.68,   3.21,   5.51,   5.78,   4.45,   3.47,   2.89,   3.42,   6.94,   1.82,   2.62
Massachusetts,2018,   4.50,   4.88,   4.45,   4.99,   2.05,   4.05,   4.65,   6.24,   7.60,   4.92,   8.77,   3.93
Massachusetts,2019,   5.30,   3.21,   2.51,   6.76,   3.70,   4.35,   4.56,   3.83,   1.89,   6.28,   3.32,   7.03
Michigan,2015,   1.28,   0.97,   0.87,   2.46,   4.14,   4.06,   2.49,   3.31,   2.91,   2.46,   3.06,   3.73
Michigan,2016,   1.73,   1.87,   3.65,   2.80,   2.63,   2.46,   3.92,   5.04,   3.96,   3.46,   2.04,   2.30
Michigan,2017,   2.78,   2.02,   2.94,   4.39,   3.36,   4.72,   2.74,   3.50,   1.57,   6.63,   2.74,   1.88
Michigan,2018,   1.74,   2.96,   1.13,   3.00,   4.26,   2.95,   2.62,   4.47,   3.54,   5.14,   2.53,   1.83
Michigan,2019,   2.29,   2.93,   1.81,   3.65,   4.73,   4.13,   2.99,   2.46,   5.19,   5.54,   2.69,   3.42
Minnesota,2015,   0.49,   0.47,   0.60,   1.39,   5.30,   3.80,   4.07,   3.89,   2.71,   2.15,   2.68,   1.91
Minnesota,2016,   0.54,   0.74,   1.96,   2.15,   2.53,   4.15,   6.07,   5.31,   4.62,   2.17,   1.72,   1.58
Minnesota,2017,   0.98,   0.97,   0.81,   2.50,   3.21,   3.76,   2.64,   5.23,   3.72,   3.26,   0.51,   0.71
Minnesota,2018,   0.57,   1.02,   1.17,   1.13,   2.79,   5.72,   4.30,   3.11,   4.32,   3.57,   1.05,   1.33
Minnesota,2019,   0.65,   1.72,   1.66,   2.71,   4.11,   3.55,   4.62,   3.31,   6.12,   4.22,   1.17,   1.82
Mississippi,2015,   4.70,   4.09,   6.40,   6.09,   6.18,   4.05,   4.40,   3.14,   1.58,   5.26,   7.45,   7.23
Mississippi,2016,   3.60,   5.41,  10.83,   5.71,   2.52,   3.71,   4.90,   5.79,   1.80,   0.55,   3.29,   5.02
Mississippi,2017,   6.70,   2.83,   4.10,   5.57,   6.65,   9.39,   4.83,   6.92,   2.64,   2.94,   1.32,   5.04
Mississippi,2018,   3.66,  10.15,   5.57,   6.61,   3.58,   3.87,   4.61,   4.58,   6.60,   2.54,   6.52,   8.52
Mississippi,2019,   6.17,   7.72,   3.32,   8.73,   5.97,   5.24,   6.79,   5.31,   0.41,  10.22,   2.71,   5.47
Missouri,2015,   1.19,   1.70,   3.24,   3.53,   7.30,   7.36,   7.93,   3.96,   2.18,   1.56,   7.90,   7.67
Missouri,2016,   0.90,   1.02,   2.99,   3.71,   5.78,   2.43,   6.56,   6.61,   4.39,   2.29,   1.49,   1.27
Missouri,2017,   1.84,   0.59,   3.90,   9.57,   5.97,   4.32,   3.39,   5.15,   1.02,   3.78,   0.91,   1.01
Missouri,2018,   1.64,   4.89,   3.78,   2.03,   4.18,   3.70,   2.49,   5.66,   3.52,   4.68,   2.73,   3.70
Missouri,2019,   3.04,   3.61,   4.20,   3.48,  10.30,   5.73,   4.46,   6.16,   3.29,   5.00,   2.87,   1.68
Montana,2015,   1.18,   0.90,   0.99,   1.08,   2.43,   1.77,   1.88,   1.01,   1.29,   1.40,   1.34,   1.61
Montana,2016,   0.91,   0.85,   1.37,   2.33,   3.10,   1.53,   2.07,   1.04,   2.47,   3.36,   0.65,   1.49
Montana,2017,   0.91,   1.72,   1.84,   2.13,   1.54,   1.72,   0.43,   0.37,   2.10,   1.16,   1.70,   1.81
Montana,2018,   1.16,   2.12,   1.44,   2.17,   2.80,   3.62,   0.76,   1.05,   1.09,   1.34,   1.44,   0.99
Montana,2019,   1.04,   1.92,   0.63,   2.18,   2.67,   2.56,   2.03,   1.53,   3.58,   1.36,   1.12,   0.79
Nebraska,2015,   0.21,   0.68,   0.24,   2.64,   5.89,   4.73,   3.33,   2.83,   2.54,   1.43,   1.95,   1.60
Nebraska,2016,   0.40,   0.79,   1.16,   5.20,   4.39,   2.20,   3.55,   2.57,   2.21,   1.16,   0.86,   0.82
Nebraska,2017,   1.01,   0.72,   1.55,   2.56,   4.71,   1.53,   2.64,   4.31,   2.72,   2.96,   0.23,   0.40
Nebraska,2018,   0.72,   0.67,   1.14,   1.55,   4.66,   5.26,   4.66,   2.44,   2.74,   2.54,   0.87,   1.97
Nebraska,2019,   0.25,   0.74,   2.81,   1.75,   6.59,   3.74,   4.17,   5.14,   2.49,   1.59,   0.96,   1.15
Nevada,2015,   0.50,   0.58,   0.38,   0.70,   2.11,   0.56,   1.22,   0.49,   0.34,   1.83,   1.29,   1.34
Nevada,2016,   1.72,   0.48,   1.01,   1.58,   1.00,   0.43,   0.21,   0.32,   0.60,   1.36,   0.48,   1.96
Nevada,2017,   2.88,   1.56,   1.11,   1.12,   0.53,   0.53,   0.61,   0.63,   0.96,   0.17,   0.88,   0.19
Nevada,2018,   0.96,   0.42,   1.62,   0.86,   1.48,   0.13,   0.70,   0.22,   0.04,   1.09,   0.81,   0.94
Nevada,2019,   1.32,   2.41,   2.10,   1.24,   2.61,   0.32,   0.26,   0.19,   0.80,   0.12,   0.98,   1.46
New Hampshire,2015,   3.35,   2.42,   1.65,   2.80,   1.95,   7.34,   3.71,   3.59,   5.36,   4.05,   2.36,   5.43
New Hampshire,2016,   1.97,   4.72,   3.46,   2.53,   2.43,   2.89,   3.46,   4.17,   2.11,   4.60,   3.04,   4.19
New Hampshire,2017,   2.82,   3.12,   3.11,   4.48,   6.55,   5.24,   3.89,   3.66,   2.96,   7.83,   2.04,   3.47
New Hampshire,2018,   4.14,   3.43,   2.76,   4.66,   1.65,   3.75,   4.96,   5.86,   4.80,   4.54,   7.75,   3.50
New Hampshire,2019,   5.41,   2.93,   1.73,   5.73,   4.54,   5.30,   3.67,   4.03,   2.34,   5.83,   3.70,   5.04
New Jersey,2015,   4.43,   2.18,   4.55,   2.67,   1.21,   8.12,   3.68,   2.26,   3.60,   4.02,   2.30,   4.84
New Jersey,2016,   3.19,   4.08,   1.87,   2.26,   4.79,   2.40,   6.97,   2.08,   3.45,   2.80,   2.43,   3.27
New Jersey,2017,   3.71,   1.64,   4.06,   3.82,   6.51,   3.32,   6.29,   5.17,   2.27,   4.97,   1.70,   1.46
New Jersey,2018,   2.72,   6.08,   4.64,   4.17,   5.80,   3.30,   5.91,   5.56,   7.57,   4.46,   8.65,   5.90
New Jersey,2019,   4.49,   3.26,   3.84,   3.98,   6.76,   5.18,   6.14,   3.75,   1.24,   5.79,   1.94,   5.44
New Mexico,2015,   1.41,   0.72,   0.71,   0.74,   2.54,   1.57,   3.70,   2.05,   1.10,   2.89,   0.85,   1.05
New Mexico,2016,   0.52,   0.27,   0.08,   0.98,   0.98,   1.05,   1.25,   3.21,   1.83,   0.32,   1.34,   1.11
New Mexico,2017,   1.71,   0.61,   0.48,   0.99,   0.73,   0.94,   2.65,   2.98,   2.42,   1.07,   0.11,   0.11
New Mexico,2018,   0.16,   0.74,   0.27,   0.15,   0.47,   0.87,   2.43,   1.94,   1.81,   2.75,   0.22,   0.91
New Mexico,2019,   0.55,   0.61,   1.03,   0.83,   1.00,   0.86,   1.73,   1.54,   1.50,   1.20,   1.78,   0.74
New York,2015,   2.34,   2.00,   1.61,   3.02,   2.75,   7.69,   3.60,   3.07,   4.75,   3.70,   2.05,   4.06
New York,2016,   1.73,   4.36,   2.13,   2.56,   2.53,   2.87,   3.40,   4.54,   2.49,   5.43,   2.66,   3.47
New York,2017,   3.40,   3.00,   3.44,   4.85,   5.85,   4.85,   5.24,   3.46,   2.42,   5.55,   2.76,   2.56
New York,2018,   3.45,   3.18,   3.00,   3.86,   2.76,   3.28,   4.62,   5.36,   5.13,   4.73,   5.94,   3.27
New York,2019,   4.43,   2.72,   1.95,   4.35,   5.33,   5.01,   3.67,   3.91,   2.81,   6.60,   3.44,   4.01
North Carolina,2015,   3.95,   3.50,   3.43,   4.35,   2.62,   5.20,   4.38,   4.00,   5.31,   7.07,   7.20,   7.31
North Carolina,2016,   2.80,   5.81,   2.14,   2.78,   5.57,   4.32,   5.18,   4.49,   7.59,   5.63,   1.11,   3.19
North Carolina,2017,   3.96,   1.19,   3.64,   6.50,   5.95,   4.70,   4.49,   5.15,   3.86,   4.37,   1.30,   2.85
North Carolina,2018,   3.79,   3.08,   4.11,   5.16,   6.79,   3.98,   6.36,   6.61,  10.40,   4.68,   6.33,   7.06
North Carolina,2019,   3.85,   4.99,   3.22,   5.19,   2.28,   5.82,   4.75,   5.14,   3.09,   4.90,   3.34,   4.54
North Dakota,2015,   0.48,   0.41,   0.42,   0.59,   4.00,   3.63,   2.65,   1.59,   1.57,   1.32,   0.49,   0.57
North Dakota,2016,   0.22,   0.39,   0.53,   2.53,   2.31,   2.61,   4.33,   2.44,   3.05,   1.23,   0.91,   1.30
North Dakota,2017,   0.48,   0.40,   0.47,   0.97,   1.01,   2.20,   1.24,   2.79,   2.47,   0.25,   0.31,   0.40
North Dakota,2018,   0.23,   0.35,   1.39,   0.50,   1.97,   4.53,   2.89,   1.45,   1.65,   1.40,   0.76,   0.65
North Dakota,2019,   0.42,   1.01,   0.51,   1.15,   2.30,   3.07,   3.40,   2.85,   5.90,   2.41,   0.61,   0.76
Ohio,2015,   2.46,   1.47,   3.52,   4.58,   3.34,   8.03,   4.75,   2.49,   3.07,   2.76,   2.24,   4.30
Ohio,2016,   1.34,   3.24,   4.01,   3.40,   3.40,   3.29,   3.23,   4.20,   3.72,   2.93,   1.31,   3.32
Ohio,2017,   4.06,   2.03,   4.50,   4.06,   5.29,   4.62,   6.29,   2.32,   1.87,   3.77,   5.14,   1.56
Ohio,2018,   2.31,   5.40,   3.30,   4.63,   4.00,   5.50,   3.26,   4.96,   6.30,   2.77,   5.16,   3.34
Ohio,2019,   3.42,   4.69,   3.54,   4.31,   4.82,   6.76,   4.45,   3.64,   1.74,   3.80,   2.19,   3.51
Oklahoma,2015,   1.21,   1.18,   2.41,   4.85,  14.44,   4.81,   5.43,   2.45,   2.07,   3.26,   6.05,   5.56
Oklahoma,2016,   0.50,   1.02,   2.47,   6.05,   3.86,   3.26,   3.72,   2.90,   3.53,   1.87,   1.25,   0.76
Oklahoma,2017,   2.59,   2.05,   2.60,   6.62,   4.49,   2.57,   3.85,   6.42,   2.57,   3.62,   0.26,   0.97
Oklahoma,2018,   0.53,   4.09,   2.10,   2.18,   3.92,   3.70,   3.26,   4.27,   5.50,   6.55,   1.09,   3.82
Oklahoma,2019,   2.10,   1.48,   2.63,   3.91,  11.61,   5.09,   1.83,   5.14,   3.01,   4.75,   2.34,   1.08
Oregon,2015,   1.98,   3.58,   2.59,   1.55,   2.17,   0.42,   0.76,   0.38,   0.83,   1.93,   3.85,  10.13
Oregon,2016,   5.16,   2.48,   4.96,   1.78,   1.57,   1.03,   0.66,   0.10,   0.61,   7.24,   3.83,   5.26
Oregon,2017,   5.01,   6.48,   5.79,   3.89,   1.59,   1.38,   0.07,   0.21,   1.37,   3.11,   5.11,   2.21
Oregon,2018,   4.14,   2.29,   3.42,   3.26,   1.27,   1.13,   0.06,   0.16,   0.31,   2.12,   2.71,   4.54
Oregon,2019,   3.48,   6.62,   2.05,   4.76,   2.55,   0.67,   0.26,   0.67,   2.68,   1.57,   1.19,   3.55
Pennsylvania,2015,   2.44,   1.52,   3.19,   3.86,   2.57,   8.36,   4.33,   2.57,   4.32,   3.78,   2.06,   4.10
Pennsylvania,2016,   2.39,   3.94,   1.96,   2.63,   3.88,   3.35,   3.79,   4.09,   3.55,   4.31,   1.49,   3.62
Pennsylvania,2017,   3.82,   2.20,   3.98,   4.32,   5.95,   4.62,   6.14,   3.84,   2.06,   5.09,   2.89,   1.70
Pennsylvania,2018,   3.28,   5.40,   3.12,   4.17,   5.48,   5.32,   7.53,   6.26,   8.88,   4.28,   6.06,   4.26
Pennsylvania,2019,   4.27,   3.45,   2.97,   4.53,   6.53,   5.82,   5.59,   3.72,   2.13,   5.61,   2.46,   3.73
Rhode Island,2015,   3.71,   2.67,   4.15,   2.50,   1.03,   5.34,   3.12,   2.53,   4.00,   4.02,   2.59,   5.22
Rhode Island,2016,   3.20,   5.26,   2.66,   3.99,   3.45,   1.44,   2.60,   2.85,   2.75,   6.32,   3.21,   3.53
Rhode Island,2017,   4.84,   2.32,   3.72,   6.56,   6.33,   3.75,   3.60,   1.89,   3.16,   7.41,   2.75,   2.78
Rhode Island,2018,   5.79,   5.68,   5.50,   5.40,   2.33,   2.70,   2.51,   4.54,   7.91,   6.56,   9.60,   4.66
Rhode Island,2019,   6.42,   3.51,   3.45,   7.08,   4.05,   4.80,   4.66,   4.04,   1.63,   7.05,   3.12,   7.30
South Carolina,2015,   3.56,   4.06,   3.18,   4.47,   1.63,   4.12,   3.47,   5.71,   4.35,  12.17,   7.24,   6.70
South Carolina,2016,   2.83,   4.66,   2.21,   2.40,   5.58,   3.61,   3.78,   3.84,   6.83,   5.55,   0.99,   3.97
South Carolina,2017,   4.88,   1.38,   2.34,   5.51,   5.15,   4.43,   5.50,   4.55,   4.83,   3.25,   1.19,   3.56
South Carolina,2018,   2.82,   2.23,   3.11,   4.49,   6.19,   3.72,   6.03,   4.27,   6.13,   4.61,   5.72,   7.98
South Carolina,2019,   3.60,   2.48,   2.52,   3.99,   2.15,   5.94,   3.91,   4.83,   2.19,   4.01,   3.48,   6.92
South Dakota,2015,   0.27,   0.34,   0.24,   0.87,   5.72,   4.05,   3.02,   3.36,   1.33,   1.44,   1.02,   1.12
South Dakota,2016,   0.27,   0.58,   1.04,   3.76,   2.54,   1.78,   2.74,   2.61,   1.97,   1.23,   0.91,   1.25
South Dakota,2017,   0.68,   0.37,   0.66,   1.94,   2.12,   2.19,   2.12,   3.17,   2.49,   1.24,   0.23,   0.42
South Dakota,2018,   0.30,   0.94,   1.53,   1.70,   2.71,   4.78,   3.40,   1.94,   2.55,   1.70,   0.73,   0.97
South Dakota,2019,   0.49,   1.01,   1.69,   2.64,   5.90,   2.63,   5.45,   3.65,   3.90,   2.13,   0.94,   0.97
Tennessee,2015,   2.81,   4.56,   5.41,   5.96,   3.68,   4.76,   6.48,   4.53,   2.73,   3.96,   6.38,   7.90
Tennessee,2016,   2.76,   5.79,   5.16,   3.20,   3.80,   3.99,   4.86,   5.03,   1.80,   0.73,   3.05,   6.87
Tennessee,2017,   4.24,   2.38,   5.77,   6.61,   5.95,   4.37,   5.36,   4.90,   4.31,   4.92,   2.78,   4.63
Tennessee,2018,   2.55,  10.73,   5.67,   5.97,   4.99,   5.74,   3.52,   4.26,   7.29,   3.57,   5.51,   7.34
Tennessee,2019,   5.78,  12.07,   4.26,   5.84,   3.71,   6.46,   6.13,   3.97,   0.50,   7.28,   4.74,   6.17
Texas,2015,   2.67,   1.09,   3.47,   3.96,   9.05,   3.72,   1.85,   1.43,   1.43,   6.17,   3.87,   2.52
Texas,2016,   0.95,   1.06,   2.85,   4.30,   4.86,   3.37,   1.31,   5.33,   2.96,   0.67,   2.34,   2.10
Texas,2017,   2.28,   1.71,   1.88,   2.75,   2.54,   3.11,   2.46,   7.00,   2.61,   1.25,   0.73,   1.96
